timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex
1678405863.32779,0x201,0,1,0,0,8,1C40,0000,001E
1678405863.328954,0x201,0,1,0,0,8,1C40,FFFC,FFF4
1678405863.3298998,0x201,0,1,0,0,8,1C40,FFF8,FFF4
1678405863.3308983,0x201,0,1,0,0,8,1C40,FFFC,FFF4
1678405863.3317475,0x201,0,1,0,0,8,1C3F,FFFC,001E
1678405863.33302,0x201,0,1,0,0,8,1C3F,FFFC,FFF4
1678405863.3338108,0x201,0,1,0,0,8,1C3F,FFFC,001E
1678405863.335059,0x201,0,1,0,0,8,1C3F,FFFC,001E
1678405863.3358476,0x201,0,1,0,0,8,1C3F,FFFC,001E
1678405863.336775,0x201,0,1,0,0,8,1C3F,0000,001E
1678405863.3381042,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3388731,0x201,0,1,0,0,8,1C40,0000,FFD4
1678405863.3397336,0x201,0,1,0,0,8,1C40,FFFC,FFD4
1678405863.3410065,0x201,0,1,0,0,8,1C3F,0000,FFF4
1678405863.341767,0x201,0,1,0,0,8,1C3F,FFFC,001E
1678405863.342705,0x201,0,1,0,0,8,1C3F,FFFC,FFF4
1678405863.3439596,0x201,0,1,0,0,8,1C3F,FFFC,FFD4
1678405863.3447144,0x201,0,1,0,0,8,1C3F,FFFC,001E
1678405863.3459783,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.346848,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3477883,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.3486314,0x201,0,1,0,0,8,1C3F,0003,FFD4
1678405863.3499012,0x201,0,1,0,0,8,1C3F,0000,FFF4
1678405863.3507178,0x201,0,1,0,0,8,1C3F,FFFC,FFD4
1678405863.3515556,0x201,0,1,0,0,8,1C3F,FFFC,FFD4
1678405863.3527963,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3535507,0x201,0,1,0,0,8,1C3F,FFFC,FFFE
1678405863.354762,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3555243,0x201,0,1,0,0,8,1C3F,FFFC,FFF4
1678405863.356812,0x201,0,1,0,0,8,1C3F,FFFC,FFCB
1678405863.3575447,0x201,0,1,0,0,8,1C3F,FFFC,FFFE
1678405863.3588264,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3595836,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3608637,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3616695,0x201,0,1,0,0,8,1C3F,FFFC,FFAB
1678405863.3625152,0x201,0,1,0,0,8,1C3F,0000,FFF4
1678405863.3637645,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.364496,0x201,0,1,0,0,8,1C3F,FFFC,FFAB
1678405863.3657694,0x201,0,1,0,0,8,1C3F,FFFC,FFCB
1678405863.3665051,0x201,0,1,0,0,8,1C3F,FFFC,FFD4
1678405863.367474,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3687963,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.369553,0x201,0,1,0,0,8,1C3F,FFFC,FFD4
1678405863.3704238,0x201,0,1,0,0,8,1C3F,0000,FFAB
1678405863.3716729,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.372393,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3737009,0x201,0,1,0,0,8,1C3E,FFFC,FFAB
1678405863.3744934,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.3754208,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3762896,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3776293,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3784335,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.3792787,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3805137,0x201,0,1,0,0,8,1C3E,FFFC,FFAB
1678405863.3813446,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.382612,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.383379,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.3843067,0x201,0,1,0,0,8,1C3F,0000,FFD4
1678405863.3855631,0x201,0,1,0,0,8,1C3F,0000,FFAB
1678405863.3863497,0x201,0,1,0,0,8,1C3F,0000,FFAB
1678405863.3872437,0x201,0,1,0,0,8,1C3F,0000,FFF4
1678405863.3882256,0x201,0,1,0,0,8,1C3F,0000,FFAB
1678405863.3892045,0x201,0,1,0,0,8,1C3E,FFFC,FFAB
1678405863.390212,0x201,0,1,0,0,8,1C3D,FFF8,FFAB
1678405863.391368,0x201,0,1,0,0,8,1C3D,FFF8,FFD4
1678405863.3921719,0x201,0,1,0,0,8,1C3D,FFFC,FFAB
1678405863.3936858,0x201,0,1,0,0,8,1C3D,0000,FFD4
1678405863.394163,0x201,0,1,0,0,8,1C3D,0000,FFAB
1678405863.3952594,0x201,0,1,0,0,8,1C3D,FFFC,FFD4
1678405863.3962677,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.3971965,0x201,0,1,0,0,8,1C3D,0000,FFAB
1678405863.398129,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.3994467,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.4001637,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.4014587,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.4021816,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.4031372,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.4043977,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.405143,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.406168,0x201,0,1,0,0,8,1C3E,FFFC,FFD4
1678405863.4070222,0x201,0,1,0,0,8,1C3E,FFFC,FFAB
1678405863.4083214,0x201,0,1,0,0,8,1C3D,FFFC,FFAB
1678405863.4091861,0x201,0,1,0,0,8,1C3D,FFFC,FFF4
1678405863.4100413,0x201,0,1,0,0,8,1C3D,FFFC,FFD4
1678405863.4113033,0x201,0,1,0,0,8,1C3D,FFFC,FFAB
1678405863.412052,0x201,0,1,0,0,8,1C3D,0000,FFB4
1678405863.413093,0x201,0,1,0,0,8,1C3D,0000,FFF4
1678405863.414071,0x201,0,1,0,0,8,1C3D,0000,FFAB
1678405863.4150193,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.4159946,0x201,0,1,0,0,8,1C3E,0000,FFAB
1678405863.41732,0x201,0,1,0,0,8,1C3D,0000,FFAB
1678405863.418088,0x201,0,1,0,0,8,1C3E,FFFC,FFAB
1678405863.4189909,0x201,0,1,0,0,8,1C3E,0000,FFD4
1678405863.4199555,0x201,0,1,0,0,8,1C3D,0000,FFD4
1678405863.421212,0x201,0,1,0,0,8,1C3D,FFFC,FFAB
1678405863.4220643,0x201,0,1,0,0,8,1C3C,FFFC,FFD4
1678405863.4233036,0x201,0,1,0,0,8,1C3D,FFFC,FFAB
1678405863.4241507,0x201,0,1,0,0,8,1C3C,FFFC,FFAB
