timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex,shaft_angle
1678580766.4949563,0x201,0,1,0,0,8,0C94,0000,FF9C,0.06860302968044117
1678580766.4958246,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.4968076,0x201,0,1,0,0,8,0C94,0000,FFDB,0.06860302968044117
1678580766.497953,0x201,0,1,0,0,8,0C94,0000,FF9C,0.06860302968044117
1678580766.4988682,0x201,0,1,0,0,8,0C94,0000,FFDC,0.06860302968044117
1678580766.4998484,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.5008016,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.5017955,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.5028152,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.5038297,0x201,0,1,0,0,8,0C94,0000,FF9C,0.06860302968044117
1678580766.5047557,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.505748,0x201,0,1,0,0,8,0C94,0000,FF9C,0.06860302968044117
1678580766.5068974,0x201,0,1,0,0,8,0C94,0000,FF9B,0.06860302968044117
1678580766.5078151,0x201,0,1,0,0,8,0C94,0000,FF9C,0.06860302968044117
1678580766.5087125,0x201,0,1,0,0,8,0C93,0000,FFDC,0.06860302968044117
1678580766.5096967,0x201,0,1,0,0,8,0C92,FFFC,FF9C,0.06858172439172054
1678580766.5108457,0x201,0,1,0,0,8,0C92,FFF8,FF9C,0.0685604191029999
1678580766.5118089,0x201,0,1,0,0,8,0C91,FFF8,FF9C,0.0685604191029999
1678580766.51297,0x201,0,1,0,0,8,0C91,FFFC,FF9C,0.06853911381427928
1678580766.513616,0x201,0,1,0,0,8,0C90,FFFC,FF9C,0.06853911381427928
1678580766.514893,0x201,0,1,0,0,8,0C90,FFFC,FFDC,0.06851780852555864
1678580766.5158076,0x201,0,1,0,0,8,0C90,FFFC,FF9C,0.06851780852555864
1678580766.516715,0x201,0,1,0,0,8,0C90,FFFC,FF9C,0.06851780852555864
1678580766.5176265,0x201,0,1,0,0,8,0C90,0000,FFDB,0.06851780852555864
1678580766.5186155,0x201,0,1,0,0,8,0C90,0000,FFDC,0.06851780852555864
1678580766.5196157,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5205932,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5215802,0x201,0,1,0,0,8,0C90,0000,FF5C,0.06851780852555864
1678580766.5228558,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.523551,0x201,0,1,0,0,8,0C90,0000,FFDC,0.06851780852555864
1678580766.5248446,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5255427,0x201,0,1,0,0,8,0C90,0000,FFDC,0.06851780852555864
1678580766.5268245,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.527523,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.528802,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5297213,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5306556,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.531595,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5327907,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5334697,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.534775,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5354674,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5367675,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5374405,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5387297,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5394535,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.540758,0x201,0,1,0,0,8,0C90,0000,FFDB,0.06851780852555864
1678580766.541396,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5427666,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.543445,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5445533,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5454562,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5463924,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.547388,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5485494,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5492911,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.5505695,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5514977,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5524204,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5534756,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
1678580766.5544543,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.555405,0x201,0,1,0,0,8,0C90,0000,FF9C,0.06851780852555864
1678580766.556353,0x201,0,1,0,0,8,0C90,0000,FF9B,0.06851780852555864
